filename,text_length,token_count,sentence_count
201006ZW005.xmi,1106,203,11
201006ZW012.xmi,1327,226,16
201006ZW019.xmi,869,155,9
201006ZW021.xmi,1354,234,11
201006ZW022.xmi,1076,204,13
201006ZW025.xmi,1253,220,15
201006ZW035.xmi,974,162,10
201006ZW038.xmi,957,171,10
201006ZW039.xmi,1055,183,14
201006ZW057.xmi,1053,167,11
201006ZW058.xmi,1500,260,14
201006ZW059.xmi,982,178,10
201006ZW062.xmi,866,144,11
201006ZW063.xmi,1195,198,16
201006ZW073.xmi,981,167,12
201006ZW075.xmi,1084,179,18
201006ZW080.xmi,1039,178,10
201006ZW082.xmi,1042,185,16
201006ZW084.xmi,1255,224,14
201006ZW091.xmi,987,185,14
201006ZW095.xmi,1080,199,17
201006ZW101.xmi,1178,204,14
201006ZW104.xmi,1440,237,15
201006ZW108.xmi,1385,237,14
201006ZW115.xmi,1470,247,19
201006ZW118.xmi,881,154,18
201006ZW119.xmi,1246,208,16
201006ZW120.xmi,1016,175,13
201006ZW128.xmi,1058,198,10
201006ZW132.xmi,1391,227,16
201006ZW166.xmi,957,175,16
201006ZW167.xmi,1035,187,19
201007ZW001.xmi,1268,225,14
201007ZW019.xmi,1123,199,11
201007ZW021.xmi,1190,207,11
201007ZW022.xmi,1204,194,12
201007ZW023.xmi,1147,200,15
201007ZW030.xmi,1041,174,12
201007ZW034.xmi,803,143,9
201007ZW035.xmi,1161,205,15
201007ZW043.xmi,1106,182,11
201007ZW059.xmi,1004,179,13
201007ZW067.xmi,1362,236,16
201007ZW070.xmi,1346,231,14
201007ZW073.xmi,1557,253,13
201007ZW076.xmi,980,170,14
201007ZW078.xmi,1217,202,18
201007ZW082.xmi,1768,294,18
201007ZW083.xmi,1265,239,15
201007ZW086.xmi,1079,178,12
201007ZW090.xmi,948,169,13
201007ZW104.xmi,1653,289,19
201007ZW108.xmi,1468,241,15
201007ZW113.xmi,1085,178,16
201007ZW121.xmi,1266,215,15
201007ZW124.xmi,1055,176,12
201008ZW005.xmi,844,155,9
201008ZW006.xmi,1258,190,14
201008ZW007.xmi,1349,227,14
201008ZW008.xmi,950,157,7
201008ZW009.xmi,1586,266,18
201008ZW010.xmi,807,131,10
201010ZW01.xmi,1567,253,15
201010ZW07.xmi,1373,248,21
201010ZW14.xmi,1711,292,15
201010ZW15.xmi,1182,196,12
201010ZW26.xmi,1506,255,15
201010ZW30.xmi,1236,187,10
201011ZW003.xmi,1313,246,19
201011ZW006.xmi,1671,281,18
201011ZW007.xmi,1133,194,15
201011ZW012.xmi,1178,196,9
201011ZW020.xmi,834,131,9
201011ZW025.xmi,1586,251,16
201011ZW033.xmi,983,173,10
201011ZW035.xmi,1426,228,12
201011ZW040.xmi,1673,306,16
201011ZW042.xmi,1674,307,19
201011ZW044.xmi,1402,223,16
201011ZW047.xmi,999,161,12
201011ZW049.xmi,1288,217,18
201011ZW053.xmi,1308,207,17
201011ZW055.xmi,1520,258,18
201011ZW057.xmi,1051,166,10
201011ZW068.xmi,1223,220,17
