filename,text_length,token_count,sentence_count
3360_1.xmi,408,84,11
3360_2.xmi,394,85,9
3361_1.xmi,601,112,11
3361_2.xmi,377,82,9
3362_1.xmi,69,16,4
3362_2.xmi,341,70,8
3363_1.xmi,279,55,4
3363_2.xmi,325,62,7
3364_1.xmi,117,22,2
3364_2.xmi,199,44,4
3365_1.xmi,334,63,7
3365_2.xmi,124,26,4
3366_1.xmi,69,12,2
3366_2.xmi,388,75,6
3367_1.xmi,441,79,4
3367_2.xmi,635,132,10
3368_1.xmi,760,140,14
3368_2.xmi,782,160,17
3526_1.xmi,701,134,11
3526_2.xmi,1066,213,18
3527_1.xmi,961,186,15
3527_2.xmi,849,168,15
3535_1.xmi,798,150,13
3535_2.xmi,909,185,19
3538_1.xmi,881,172,12
3538_2.xmi,359,72,7
3543_1.xmi,800,150,14
3543_2.xmi,816,155,16
3544_1.xmi,834,159,12
3544_2.xmi,914,187,14
3547_1.xmi,783,140,12
3547_2.xmi,948,180,10
3548_1.xmi,753,150,15
3548_2.xmi,714,149,19
3550_1.xmi,1021,183,9
3550_2.xmi,979,190,12
3552_1.xmi,935,172,21
3552_2.xmi,758,152,17
3553_2.xmi,603,127,15
3554_1.xmi,710,140,17
3554_2.xmi,671,139,16
3555_1.xmi,585,115,12
3555_2.xmi,919,209,31
3556_1.xmi,1029,194,20
3556_2.xmi,848,168,22
3557_1.xmi,921,186,21
3557_2.xmi,586,118,13
3558_1.xmi,715,136,15
3558_2.xmi,801,168,18
3559_1.xmi,948,181,18
3559_2.xmi,1352,271,18
3560_1.xmi,860,159,17
3560_2.xmi,672,133,12
3561_1.xmi,896,177,21
3561_2.xmi,1004,197,22
3565_1.xmi,840,162,15
3565_2.xmi,834,160,18
3811_1.xmi,890,158,11
3811_2.xmi,174,34,4
3812_1.xmi,831,152,20
3812_2.xmi,99,23,4
3814_1.xmi,1152,210,16
3814_2.xmi,686,125,13
3817_1.xmi,862,170,13
3817_2.xmi,206,37,3
3818_1.xmi,415,72,8
3819_1.xmi,965,172,15
3819_2.xmi,450,87,11
3820_1.xmi,843,158,13
3820_2.xmi,159,29,5
4338_1.xmi,862,167,15
4338_2.xmi,982,193,25
4339_1.xmi,1196,220,19
4339_2.xmi,574,119,10
4345_1.xmi,414,75,5
4345_2.xmi,803,159,16
4346_1.xmi,911,178,17
4346_2.xmi,859,171,19
4347_1.xmi,912,182,22
4347_2.xmi,929,198,25
4348_1.xmi,1074,207,21
4348_2.xmi,1281,252,25
4349_1.xmi,787,146,13
4349_2.xmi,561,118,14
4351_1.xmi,720,135,14
4351_2.xmi,769,156,17
4352_1.xmi,870,169,18
4352_2.xmi,729,150,14
4353_1.xmi,517,95,11
4353_2.xmi,316,63,10
4356_1.xmi,918,174,17
4356_2.xmi,908,188,19
4357_1.xmi,859,154,17
4357_2.xmi,883,186,21
4358_1.xmi,869,172,16
4358_2.xmi,739,155,16
4439_1.xmi,960,187,17
4439_2.xmi,980,194,21
4442_1.xmi,1148,226,20
4442_2.xmi,847,181,15
4444_1.xmi,1229,234,17
4444_2.xmi,956,198,25
4448_1.xmi,1079,205,13
4448_2.xmi,1114,223,17
4450_1.xmi,873,167,14
4450_2.xmi,955,185,18
4451_1.xmi,1179,220,17
4451_2.xmi,1379,271,22
4453_1.xmi,1231,257,21
4453_2.xmi,1569,333,26
4454_1.xmi,1640,319,32
4454_2.xmi,1017,197,19
4460_1.xmi,790,154,17
4460_2.xmi,905,177,17
4463_1.xmi,968,180,15
4463_2.xmi,870,180,17
4464_1.xmi,795,167,19
4464_2.xmi,891,184,21
4465_1.xmi,782,153,10
4465_2.xmi,666,133,9
4466_1.xmi,848,163,16
4466_2.xmi,801,171,16
4468_1.xmi,930,190,19
4468_2.xmi,675,146,13
4473_1.xmi,325,77,16
4473_2.xmi,775,162,20
4605_1.xmi,793,158,13
4605_2.xmi,793,157,16
4606_1.xmi,1207,229,24
4606_2.xmi,588,115,12
4607_1.xmi,1197,199,15
4607_2.xmi,1182,214,16
4608_1.xmi,775,147,15
4608_2.xmi,591,116,13
4610_1.xmi,971,170,12
4610_2.xmi,980,188,17
4611_1.xmi,922,179,19
4611_2.xmi,330,70,7
4612_1.xmi,1673,309,24
4612_2.xmi,895,167,14
4613_1.xmi,1373,264,15
4613_2.xmi,720,152,7
4615_1.xmi,725,144,7
4615_2.xmi,417,86,4
4616_1.xmi,1110,211,24
4616_2.xmi,951,191,19
4646_1.xmi,853,159,12
4646_2.xmi,777,165,12
4647_1.xmi,771,145,6
4647_2.xmi,281,56,6
4649_1.xmi,881,165,15
4649_2.xmi,863,171,16
4650_1.xmi,953,177,13
4650_2.xmi,845,167,13
4652_1.xmi,1159,215,16
4652_2.xmi,970,197,20
4653_1.xmi,811,153,16
4653_2.xmi,512,108,13
4654_1.xmi,635,121,13
4654_2.xmi,371,88,9
4658_1.xmi,1248,230,15
4658_2.xmi,858,160,11
4659_1.xmi,842,158,6
4659_2.xmi,800,152,9
4660_1.xmi,997,186,16
4660_2.xmi,876,173,12
4661_1.xmi,1100,194,14
4661_2.xmi,973,194,19
4662_1.xmi,823,154,15
4662_2.xmi,962,182,16
4665_1.xmi,1037,191,15
4665_2.xmi,855,169,17
4666_1.xmi,794,154,13
4666_2.xmi,232,47,5
4667_1.xmi,863,156,9
4667_2.xmi,133,30,6
4850_1.xmi,805,148,9
4850_2.xmi,704,136,9
4851_1.xmi,1099,203,12
4851_2.xmi,855,161,11
4852_1.xmi,1120,213,17
4852_2.xmi,781,160,14
4854_1.xmi,1106,220,21
4854_2.xmi,924,175,17
4855_1.xmi,1222,239,19
4855_2.xmi,813,156,14
4856_1.xmi,759,145,18
4857_1.xmi,666,123,11
4857_2.xmi,936,171,11
4859_1.xmi,832,165,17
4859_2.xmi,416,81,9
4866_1.xmi,471,90,9
4866_2.xmi,544,108,10
4905_1.xmi,785,150,14
4905_2.xmi,903,184,16
4907_1.xmi,750,155,25
4907_2.xmi,549,110,16
4909_1.xmi,1427,281,33
4910_1.xmi,1183,223,25
4910_2.xmi,792,162,20
4913_1.xmi,820,155,13
4913_2.xmi,358,72,8
4916_1.xmi,1172,229,23
4918_1.xmi,887,173,20
4918_2.xmi,906,188,24
4919_1.xmi,1248,262,41
4919_2.xmi,785,165,19
4921_1.xmi,942,185,21
4921_2.xmi,387,76,7
4925_1.xmi,865,173,17
4925_2.xmi,305,65,8
4927_1.xmi,981,192,28
4927_2.xmi,1181,245,31
4959_1.xmi,1136,232,20
4959_2.xmi,593,116,12
5027_1.xmi,965,190,19
5027_2.xmi,723,142,15
5028_1.xmi,803,152,13
5028_2.xmi,679,130,9
5029_1.xmi,1161,219,18
5029_2.xmi,945,188,18
5030_1.xmi,882,173,13
5030_2.xmi,898,176,13
5031_1.xmi,761,153,15
5031_2.xmi,956,189,14
5032_1.xmi,817,159,13
5032_2.xmi,744,152,17
5033_1.xmi,793,145,11
5033_2.xmi,615,121,9
5034_1.xmi,840,172,15
5034_2.xmi,675,139,14
5035_1.xmi,852,164,15
5035_2.xmi,794,161,15
5036_1.xmi,781,152,16
5036_2.xmi,604,124,14
5040_1.xmi,617,122,12
5040_2.xmi,176,38,4
5041_1.xmi,863,160,17
5041_2.xmi,380,77,7
5042_1.xmi,1336,259,20
5042_2.xmi,841,167,16
5044_1.xmi,594,109,11
5044_2.xmi,277,57,8
5045_1.xmi,427,81,7
5045_2.xmi,451,95,8
5046_1.xmi,697,134,16
5046_2.xmi,624,131,13
5047_1.xmi,859,159,12
5047_2.xmi,385,87,11
5048_1.xmi,701,135,13
5048_2.xmi,573,114,8
5284_1.xmi,856,169,18
5284_2.xmi,930,186,24
5285_1.xmi,911,164,15
5285_2.xmi,868,169,15
5287_1.xmi,861,171,13
5290_1.xmi,850,158,11
5290_2.xmi,1003,208,22
5291_1.xmi,708,130,16
5291_2.xmi,766,143,13
5292_1.xmi,728,146,10
5292_2.xmi,815,161,16
5293_1.xmi,591,114,15
5293_2.xmi,593,123,11
5294_1.xmi,1066,198,15
5294_2.xmi,1070,198,18
5295_1.xmi,983,188,15
5295_2.xmi,916,182,18
5296_1.xmi,576,112,8
5296_2.xmi,838,174,18
5298_1.xmi,836,147,13
5298_2.xmi,839,163,11
5299_1.xmi,542,108,10
5299_2.xmi,466,99,13
5357_1.xmi,920,176,13
5357_2.xmi,823,150,12
5358_1.xmi,947,186,16
5358_2.xmi,1037,198,16
5359_1.xmi,985,185,21
5359_2.xmi,981,191,28
5360_1.xmi,1138,201,17
5360_2.xmi,1599,292,21
5361_1.xmi,1155,221,13
5361_2.xmi,922,189,13
5362_1.xmi,861,166,13
5362_2.xmi,852,173,12
5363_1.xmi,703,135,8
5363_2.xmi,769,156,17
5364_1.xmi,1027,212,18
5364_2.xmi,991,204,17
5365_1.xmi,985,190,16
5365_2.xmi,1307,260,18
5367_1.xmi,965,182,17
5367_2.xmi,885,178,19
5368_1.xmi,712,137,11
5368_2.xmi,799,158,13
5370_1.xmi,938,181,17
5370_2.xmi,678,144,18
5371_1.xmi,864,152,10
5371_2.xmi,915,175,16
5488_1.xmi,854,155,9
5488_2.xmi,573,115,11
5489_1.xmi,1001,183,14
5489_2.xmi,546,97,9
5490_1.xmi,506,93,6
5490_2.xmi,953,185,14
5491_1.xmi,1444,270,13
5491_2.xmi,1677,319,17
5492_1.xmi,905,168,14
5492_2.xmi,786,150,13
5494_1.xmi,1493,278,19
5494_2.xmi,1281,242,14
5533_1.xmi,1080,215,19
5533_2.xmi,636,138,18
5535_1.xmi,736,139,9
5535_2.xmi,933,173,14
5538_1.xmi,773,144,12
5538_2.xmi,717,138,15
5548_1.xmi,1114,208,25
5548_2.xmi,963,195,24
5551_1.xmi,1096,203,13
5551_2.xmi,1016,183,14
5558_1.xmi,978,188,12
5558_2.xmi,1076,202,16
5560_1.xmi,616,123,15
5560_2.xmi,1211,245,22
5693_1.xmi,746,139,9
5694_1.xmi,781,152,5
5697_1.xmi,812,163,15
5697_2.xmi,234,46,6
5698_1.xmi,502,98,11
5701_1.xmi,675,133,14
5701_2.xmi,997,194,15
5703_1.xmi,414,78,8
5704_1.xmi,860,181,16
5704_2.xmi,550,109,8
5705_1.xmi,731,139,14
5705_2.xmi,722,137,13
5707_1.xmi,670,131,13
5707_2.xmi,781,151,12
5708_1.xmi,677,133,14
5708_2.xmi,282,56,6
5709_1.xmi,464,93,11
5709_2.xmi,208,44,5
5768_1.xmi,1127,215,22
5768_2.xmi,771,148,18
5770_1.xmi,1015,190,19
5770_2.xmi,813,169,16
5771_1.xmi,656,118,14
5771_2.xmi,792,161,17
5772_1.xmi,671,120,11
5772_2.xmi,355,72,9
5773_1.xmi,851,165,17
5773_2.xmi,549,115,12
5774_1.xmi,786,141,10
5774_2.xmi,349,71,7
5776_1.xmi,872,156,16
5776_2.xmi,830,166,18
5777_1.xmi,1047,207,22
5777_2.xmi,742,140,17
5778_1.xmi,942,172,13
5778_2.xmi,804,168,11
5786_1.xmi,916,183,20
5786_2.xmi,758,162,23
5788_1.xmi,961,185,21
5788_2.xmi,502,103,11
5856_1.xmi,1031,191,18
5856_2.xmi,1184,228,21
5859_1.xmi,938,174,13
5859_2.xmi,997,189,15
5860_1.xmi,997,199,16
5860_2.xmi,901,190,19
5877_1.xmi,913,169,15
5877_2.xmi,1151,219,18
5878_1.xmi,1129,204,18
5878_2.xmi,951,176,13
5880_1.xmi,865,166,15
5880_2.xmi,1012,197,21
5881_1.xmi,769,137,11
5881_2.xmi,937,179,13
5882_1.xmi,820,147,8
5882_2.xmi,690,130,9
5884_1.xmi,1139,220,21
5884_2.xmi,18,4,2
5886_1.xmi,873,163,11
5886_2.xmi,980,178,12
5887_1.xmi,1469,283,23
5887_2.xmi,1189,237,19
5889_1.xmi,833,160,13
5889_2.xmi,1024,199,13
5890_1.xmi,322,59,6
5890_2.xmi,165,36,8
5891_1.xmi,1253,232,26
5891_2.xmi,1075,208,27
5894_1.xmi,742,135,14
5894_2.xmi,506,102,11
5895_1.xmi,1712,318,28
5895_2.xmi,1122,229,22
5897_1.xmi,1089,186,14
5897_2.xmi,1156,208,15
6317_1.xmi,594,114,9
6317_2.xmi,482,101,10
6318_1.xmi,1028,189,17
6318_2.xmi,446,81,7
6319_1.xmi,727,136,14
6319_2.xmi,333,72,7
6320_1.xmi,627,117,10
6320_2.xmi,564,108,12
6321_1.xmi,659,121,12
6321_2.xmi,601,112,13
6322_1.xmi,891,182,12
6322_2.xmi,765,154,14
6323_1.xmi,286,59,8
6323_2.xmi,603,122,12
6328_1.xmi,801,157,12
6328_2.xmi,684,137,10
6329_1.xmi,882,170,15
6329_2.xmi,440,88,8
6394_1.xmi,980,187,20
6394_2.xmi,1025,209,20
6395_1.xmi,1026,195,23
6395_2.xmi,1034,196,17
6396_1.xmi,882,168,15
6396_2.xmi,1065,209,17
6398_1.xmi,1420,248,16
6398_2.xmi,1561,270,21
6399_1.xmi,782,147,13
6399_2.xmi,1118,214,20
6401_1.xmi,942,184,18
6401_2.xmi,1041,206,17
6403_1.xmi,1348,251,24
6403_2.xmi,1355,265,27
6404_1.xmi,1104,215,20
6404_2.xmi,1090,213,17
6405_1.xmi,906,174,17
6405_2.xmi,1087,208,18
6406_1.xmi,1227,240,21
6406_2.xmi,1441,280,19
6407_1.xmi,994,186,15
6407_2.xmi,1347,264,23
6408_1.xmi,899,168,14
6408_2.xmi,1011,199,22
6409_1.xmi,1031,200,11
6409_2.xmi,1219,237,17
6411_1.xmi,912,175,18
6411_2.xmi,1023,204,22
6412_1.xmi,1352,248,24
6412_2.xmi,1472,269,26
6414_1.xmi,1289,255,21
6414_2.xmi,1330,251,18
6415_1.xmi,1102,192,15
6415_2.xmi,1262,235,17
7000_1.xmi,1467,294,29
7000_2.xmi,1049,220,20
7001_1.xmi,1023,195,13
7001_2.xmi,674,138,13
7002_1.xmi,1947,362,24
7002_2.xmi,2240,410,30
7003_1.xmi,916,184,17
7003_2.xmi,972,203,15
7004_1.xmi,850,173,16
7004_2.xmi,1015,198,15
7006_1.xmi,955,187,19
7006_2.xmi,876,172,17
7007_1.xmi,670,121,10
7007_2.xmi,930,176,10
7010_1.xmi,582,111,8
7010_2.xmi,401,76,7
7013_1.xmi,802,153,12
7013_2.xmi,817,156,15
7016_1.xmi,1490,303,26
7016_2.xmi,1273,252,24
7017_1.xmi,1092,199,14
7017_2.xmi,870,178,13
7019_1.xmi,967,184,18
7019_2.xmi,805,160,20
7021_1.xmi,845,163,13
7021_2.xmi,1031,213,22
7023_1.xmi,829,152,9
7023_2.xmi,995,189,10
7024_1.xmi,1332,262,23
7024_2.xmi,755,152,15
7025_1.xmi,1005,197,18
7025_2.xmi,725,149,14
7026_1.xmi,884,167,16
7026_2.xmi,1001,194,19
7027_1.xmi,1254,224,15
7027_2.xmi,1443,265,13
7029_1.xmi,1457,276,22
7029_2.xmi,1286,253,26
7030_1.xmi,762,150,8
7034_1.xmi,843,171,13
7034_2.xmi,527,111,10
7035_1.xmi,888,165,20
7035_2.xmi,657,126,16
7037_1.xmi,1014,198,19
7037_2.xmi,887,168,17
7038_1.xmi,1197,233,21
7038_2.xmi,549,113,7
7039_1.xmi,933,170,13
7039_2.xmi,1083,216,18
7040_1.xmi,785,149,12
