filename,filepath,doc_text_length,token_count,sentence_count,annotation_count
201006ZW005.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW005.xmi,1106,2028,106,0
201006ZW012.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW012.xmi,1327,2242,156,0
201006ZW019.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW019.xmi,869,1554,84,0
201006ZW021.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW021.xmi,1354,2306,110,0
201006ZW022.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW022.xmi,1076,2046,124,0
201006ZW025.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW025.xmi,1253,2166,144,0
201006ZW035.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW035.xmi,974,1612,92,0
201006ZW038.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW038.xmi,957,1712,92,0
201006ZW039.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW039.xmi,1055,1876,132,0
201006ZW057.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW057.xmi,1053,1672,104,0
201006ZW058.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW058.xmi,1500,2590,132,0
201006ZW059.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW059.xmi,982,1810,94,0
201006ZW062.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW062.xmi,866,1432,104,0
201006ZW063.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW063.xmi,1195,1966,152,0
201006ZW073.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW073.xmi,981,1656,114,0
201006ZW075.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW075.xmi,1084,1780,174,0
201006ZW080.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW080.xmi,1039,1766,94,0
201006ZW082.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW082.xmi,1042,1864,152,0
201006ZW084.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW084.xmi,1255,2214,134,0
201006ZW091.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW091.xmi,987,1858,134,0
201006ZW095.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\CDLK\learner_xmi\201006ZW095.xmi,1080,1980,158,0
