filename,filepath,doc_text_length,token_count,sentence_count,annotation_count
3360_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3360_1.xmi,408,878,110,0
3360_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3360_2.xmi,394,862,90,0
3361_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3361_1.xmi,601,1184,110,0
3361_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3361_2.xmi,377,852,92,0
3362_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3362_1.xmi,69,168,40,0
3362_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3362_2.xmi,341,688,80,0
3363_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3363_1.xmi,279,570,40,0
3363_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3363_2.xmi,325,620,70,0
3364_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3364_1.xmi,117,240,20,0
3364_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3364_2.xmi,199,470,40,0
3365_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3365_1.xmi,334,636,70,0
3365_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3365_2.xmi,124,290,42,0
3366_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3366_1.xmi,69,118,20,0
3366_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3366_2.xmi,388,796,60,0
3367_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3367_1.xmi,441,818,42,0
3367_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3367_2.xmi,635,1204,90,0
3368_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3368_1.xmi,760,1450,140,0
3368_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3368_2.xmi,782,1664,168,0
3526_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3526_1.xmi,701,1360,112,0
3526_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3526_2.xmi,1066,2160,184,0
3527_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3527_1.xmi,961,1892,150,0
3527_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3527_2.xmi,849,1722,150,0
3535_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3535_1.xmi,798,1574,132,0
3535_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3535_2.xmi,909,1858,186,0
3538_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3538_1.xmi,881,1764,120,0
3538_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3538_2.xmi,359,748,72,0
3543_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3543_1.xmi,800,1516,140,0
3543_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3543_2.xmi,816,1574,160,0
3544_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3544_1.xmi,834,1620,120,0
3544_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3544_2.xmi,914,1918,140,0
3547_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3547_1.xmi,783,1424,120,0
3547_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3547_2.xmi,948,1810,100,0
3548_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3548_1.xmi,753,1526,150,0
3548_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3548_2.xmi,714,1488,188,0
3550_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3550_1.xmi,1021,1786,92,0
3550_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3550_2.xmi,979,1914,120,0
3552_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3552_1.xmi,935,1756,210,0
3552_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3552_2.xmi,758,1536,168,0
3553_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3553_2.xmi,603,1310,150,0
3554_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3554_1.xmi,710,1416,170,0
3554_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3554_2.xmi,671,1410,160,0
3555_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3555_1.xmi,585,1204,120,0
3555_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3555_2.xmi,919,2006,306,0
3556_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3556_1.xmi,1029,1946,200,0
3556_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3556_2.xmi,848,1726,220,0
3557_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3557_1.xmi,921,1862,210,0
3557_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3557_2.xmi,586,1226,130,0
3558_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3558_1.xmi,715,1404,150,0
3558_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3558_2.xmi,801,1710,180,0
3559_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3559_1.xmi,948,1820,180,0
3559_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3559_2.xmi,1352,2724,186,0
3560_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3560_1.xmi,860,1630,170,0
3560_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3560_2.xmi,672,1360,120,0
3561_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3561_1.xmi,896,1806,210,0
3561_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3561_2.xmi,1004,2032,220,0
3565_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3565_1.xmi,840,1616,152,0
3565_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3565_2.xmi,834,1640,180,0
3811_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3811_1.xmi,890,1602,112,0
3811_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3811_2.xmi,174,350,40,0
3812_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3812_1.xmi,831,1528,204,0
3812_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3812_2.xmi,99,230,40,0
3814_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3814_1.xmi,1152,2114,160,0
3814_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3814_2.xmi,686,1252,130,0
3817_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3817_1.xmi,862,1678,128,0
3817_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3817_2.xmi,206,380,30,0
3818_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3818_1.xmi,415,734,80,0
3819_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3819_1.xmi,965,1778,150,0
3819_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3819_2.xmi,450,866,108,0
3820_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3820_1.xmi,843,1570,128,0
3820_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\3820_2.xmi,159,294,50,0
4338_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4338_1.xmi,862,1718,150,0
4338_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4338_2.xmi,982,1960,248,0
4339_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4339_1.xmi,1196,2248,188,0
4339_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4339_2.xmi,574,1228,100,0
4345_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4345_1.xmi,414,778,50,0
4345_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4345_2.xmi,803,1624,160,0
4346_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4346_1.xmi,911,1792,170,0
4346_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4346_2.xmi,859,1756,188,0
4347_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4347_1.xmi,912,1812,220,0
4347_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4347_2.xmi,929,1976,248,0
4348_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4348_1.xmi,1074,2090,210,0
4348_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4348_2.xmi,1281,2518,248,0
4349_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4349_1.xmi,787,1456,128,0
4349_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4349_2.xmi,561,1212,138,0
4351_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4351_1.xmi,720,1360,140,0
4351_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4351_2.xmi,769,1636,172,0
4352_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4352_1.xmi,870,1726,178,0
4352_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4352_2.xmi,729,1566,142,0
4353_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4353_1.xmi,517,956,108,0
4353_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4353_2.xmi,316,650,100,0
4356_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4356_1.xmi,918,1728,170,0
4356_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4356_2.xmi,908,1930,192,0
4357_1.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4357_1.xmi,859,1574,170,0
4357_2.xmi,C:\Users\Vedang Deshmukh\Desktop\dakoda-corpus-recipes\data\KLP1\learner_xmi\4357_2.xmi,883,1886,206,0
